Año,Trimestre,Código Dane,Departamento,Número de accesos a internet,Población,Penetración
2022-01-01,1,11,BOGOTÁ D.C.,2240742,7873316,28.46
2022-01-01,1,13,BOLÍVAR,253510,2227184,11.38
2022-01-01,1,15,BOYACÁ,156717,1285035,12.2
2022-01-01,1,17,CALDAS,172726,1034151,16.7
2022-01-01,1,18,CAQUETA,37375,421797,8.86
2022-01-01,1,85,CASANARE,50810,459973,11.05
2022-01-01,1,19,CAUCA,94952,1541265,6.16
2022-01-01,1,20,CESAR,132049,1349162,9.79
2022-01-01,1,27,CHOCÓ,28802,584521,4.93
2022-01-01,1,25,CUNDINAMARCA,591799,3334637,17.75
2022-01-01,1,23,CÓRDOBA,133977,1882211,7.12
2022-01-01,1,94,GUAINÍA,766,55091,1.39
2022-01-01,1,95,GUAVIARE,2129,94625,2.25
2022-01-01,1,41,HUILA,142760,1164463,12.26
2022-01-01,1,44,LA GUAJIRA,53869,1017121,5.3
2022-01-01,1,47,MAGDALENA,189392,1476366,12.83
2022-01-01,1,50,META,152344,1113810,13.68
2022-01-01,1,52,NARIÑO,122384,1689002,7.25
2022-01-01,1,54,NORTE DE SANTANDER,188799,1678975,11.24
2022-01-01,1,86,PUTUMAYO,11119,377095,2.95
2022-01-01,1,63,QUINDÍO,127869,559810,22.84
